#SampleID	Old_SampleID	dataset	genus_sp	subspecies	common_name	uniqueid	site	site_code	country	country_zoo	captivity_status	captivity_status_ext	amplicon	sample	Description
cp.ora.ATLZ.114.16s	Orang114	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	114	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.114	captive_orangutan
cp.ora.ATLZ.115.16s	Orang115	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	115	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.115	captive_orangutan
cp.ora.ATLZ.116.16s	Orang116	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	116	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.116	captive_orangutan
cp.ora.ATLZ.117.16s	Orang117	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	117	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.117	captive_orangutan
cp.ora.ATLZ.118.16s	Orang118	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	118	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.118	captive_orangutan
cp.ora.ATLZ.119.16s	Orang119	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	119	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.119	captive_orangutan
cp.ora.ATLZ.120.16s	Orang120	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	120	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.120	captive_orangutan
cp.ora.ATLZ.121.16s	Orang121	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	121	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.121	captive_orangutan
cp.ora.ATLZ.122.16s	Orang122	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	122	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.122	captive_orangutan
cp.ora.ATLZ.123.16s	Orang123	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	123	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.123	captive_orangutan
cp.bon.COLZ.1.16s	COL.Bonobo01	this_study	Pan_paniscus	Pan_paniscus	bonobo	1	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.bon.COLZ.1	captive_bonobo
cp.bon.COLZ.10.16s	COL.Bonobo10	this_study	Pan_paniscus	Pan_paniscus	bonobo	10	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.bon.COLZ.10	captive_bonobo
cp.bon.COLZ.11.16s	COL.Bonobo11	this_study	Pan_paniscus	Pan_paniscus	bonobo	11	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.bon.COLZ.11	captive_bonobo
cp.bon.COLZ.12.16s	COL.Bonobo12	this_study	Pan_paniscus	Pan_paniscus	bonobo	12	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.bon.COLZ.12	captive_bonobo
cp.bon.COLZ.13.16s	COL.Bonobo13	this_study	Pan_paniscus	Pan_paniscus	bonobo	13	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.bon.COLZ.13	captive_bonobo
cp.bon.COLZ.2.16s	COL.Bonobo02	this_study	Pan_paniscus	Pan_paniscus	bonobo	2	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.bon.COLZ.2	captive_bonobo
cp.bon.COLZ.5.16s	COL.Bonobo05	this_study	Pan_paniscus	Pan_paniscus	bonobo	5	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.bon.COLZ.5	captive_bonobo
cp.bon.COLZ.6.16s	COL.Bonobo06	this_study	Pan_paniscus	Pan_paniscus	bonobo	6	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.bon.COLZ.6	captive_bonobo
