X.SampleID	Old_SampleID	dataset	genus_sp	subspecies	common_name	uniqueid	site	site_code	country	captivity_status	amplicon	sample	Description
wd.bon.IK.KSG2876.Bt	83	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG2876	DRC.IK	IK	DRC	wild	Bt	wd.bon.IK.KSG2876	wild_bonobo
wd.bon.IK.KSG2883.Bt	97	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG2883	DRC.IK	IK	DRC	wild	Bt	wd.bon.IK.KSG2883	wild_bonobo
wd.bon.IK.KSG2877.Bt	98	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG2877	DRC.IK	IK	DRC	wild	Bt	wd.bon.IK.KSG2877	wild_bonobo
wd.bon.IK.KSG2879.Bt	112	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG2879	DRC.IK	IK	DRC	wild	Bt	wd.bon.IK.KSG2879	wild_bonobo
wd.bon.IK.KSG2882.Bt	113	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG2882	DRC.IK	IK	DRC	wild	Bt	wd.bon.IK.KSG2882	wild_bonobo
wd.bon.KR.MMBB063.Bt	7	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	MMBB063	DRC.KR	KR	DRC	wild	Bt	wd.bon.KR.MMBB063	wild_bonobo
wd.bon.KR.MMBB070.Bt	22	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	MMBB070	DRC.KR	KR	DRC	wild	Bt	wd.bon.KR.MMBB070	wild_bonobo
wd.bon.KR.MMBB046.Bt	37	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	MMBB046	DRC.KR	KR	DRC	wild	Bt	wd.bon.KR.MMBB046	wild_bonobo
wd.bon.KR.MMBB044.Bt	52	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	MMBB044	DRC.KR	KR	DRC	wild	Bt	wd.bon.KR.MMBB044	wild_bonobo
wd.bon.LK.KSG0659.Bt	8	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0659	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0659	wild_bonobo
wd.bon.LK.KSG0670.Bt	9	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0670	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0670	wild_bonobo
wd.bon.LK.KSG0665.Bt	23	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0665	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0665	wild_bonobo
wd.bon.LK.KSG0650.Bt	24	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0650	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0650	wild_bonobo
wd.bon.LK.KSG0664.Bt	38	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0664	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0664	wild_bonobo
wd.bon.LK.KSG0654.Bt	39	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0654	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0654	wild_bonobo
wd.bon.LK.KSG0668.Bt	53	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0668	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0668	wild_bonobo
wd.bon.LK.KSG0648.Bt	54	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0648	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0648	wild_bonobo
wd.bon.LK.KSG0667.Bt	67	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0667	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0667	wild_bonobo
wd.bon.LK.KSG0662.Bt	68	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0662	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0662	wild_bonobo
wd.bon.LK.KSG0649.Bt	69	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0649	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0649	wild_bonobo
wd.bon.LK.KS60661.Bt	82	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KS60661	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KS60661	wild_bonobo
wd.bon.LK.KSG0657.Bt	84	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0657	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0657	wild_bonobo
wd.bon.LK.KSG0651.Bt	99	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0651	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0651	wild_bonobo
wd.bon.LK.KSG0672.Bt	114	gyrb_moeller_wild	Pan_paniscus	Pan_paniscus	bonobo	KSG0672	DRC.LK	LK	DRC	wild	Bt	wd.bon.LK.KSG0672	wild_bonobo
wd.chi.GM.74.Bt	2	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	74	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.74	wild_chimp
wd.chi.GM.1759.Bt	3	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1759	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1759	wild_chimp
wd.chi.GM.10.Bt	4	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	10	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.10	wild_chimp
wd.chi.GM.111.Bt	5	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	111	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.111	wild_chimp
wd.chi.GM.1475.Bt	6	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1475	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1475	wild_chimp
wd.chi.GM.1452.Bt	17	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1452	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1452	wild_chimp
wd.chi.GM.1401.Bt	18	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1401	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1401	wild_chimp
wd.chi.GM.75.Bt	20	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	75	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.75	wild_chimp
wd.chi.GM.91.Bt	21	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	91	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.91	wild_chimp
wd.chi.GM.445.Bt	31	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	445	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.445	wild_chimp
wd.chi.GM.1368.Bt	32	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1368	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1368	wild_chimp
wd.chi.GM.1343.Bt	33	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1343	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1343	wild_chimp
wd.chi.GM.1507.Bt	34	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1507	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1507	wild_chimp
wd.chi.GM.40.Bt	35	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	40	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.40	wild_chimp
wd.chi.GM.1515.Bt	36	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1515	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1515	wild_chimp
wd.chi.GM.333.Bt	46	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	333	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.333	wild_chimp
wd.chi.GM.11.Bt	47	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	11	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.11	wild_chimp
wd.chi.GM.15.Bt	48	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	15	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.15	wild_chimp
wd.chi.GM.1500.Bt	49	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1500	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1500	wild_chimp
wd.chi.GM.41.Bt	50	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	41	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.41	wild_chimp
wd.chi.GM.1459.Bt	51	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1459	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1459	wild_chimp
wd.chi.GM.3.Bt	61	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	3	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.3	wild_chimp
wd.chi.GM.1709.Bt	62	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1709	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1709	wild_chimp
wd.chi.GM.1496.Bt	64	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1496	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1496	wild_chimp
wd.chi.GM.1446.Bt	66	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1446	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1446	wild_chimp
wd.chi.GM.1648.Bt	76	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1648	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1648	wild_chimp
wd.chi.GM.1202.Bt	77	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1202	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1202	wild_chimp
wd.chi.GM.1480.Bt	79	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1480	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1480	wild_chimp
wd.chi.GM.1438.Bt	81	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1438	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1438	wild_chimp
wd.chi.GM.1151.Bt	91	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1151	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1151	wild_chimp
wd.chi.GM.163.Bt	92	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	163	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.163	wild_chimp
wd.chi.GM.1476.Bt	94	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1476	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1476	wild_chimp
wd.chi.GM.341.Bt	106	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	341	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.341	wild_chimp
wd.chi.GM.76.Bt	107	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	76	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.76	wild_chimp
wd.chi.GM.1436.Bt	109	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1436	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.1436	wild_chimp
wd.chi.GM.370.Bt	111	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	370	TZ.GM.KK	GM	TZA	wild	Bt	wd.chi.GM.370	wild_chimp
wd.chi.GM.9.Bt	1	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	9	TZ.GM.MT	GM	TZA	wild	Bt	wd.chi.GM.9	wild_chimp
wd.chi.GM.1203dup.Bt	16	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1203dup	TZ.GM.MT	GM	TZA	wild	Bt	wd.chi.GM.1203dup	wild_chimp
wd.chi.GM.1511.Bt	19	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1511	TZ.GM.MT	GM	TZA	wild	Bt	wd.chi.GM.1511	wild_chimp
wd.chi.GM.1720.Bt	63	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1720	TZ.GM.MT	GM	TZA	wild	Bt	wd.chi.GM.1720	wild_chimp
wd.chi.GM.1077.Bt	65	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1077	TZ.GM.MT	GM	TZA	wild	Bt	wd.chi.GM.1077	wild_chimp
wd.chi.GM.1465.Bt	78	gyrb_moeller_wild	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1465	TZ.GM.MT	GM	TZA	wild	Bt	wd.chi.GM.1465	wild_chimp
