"Phylum"	"Class"	"Order"	"Family"	"Genus"	"industrialized_humanvs.captive"	"non_industrialized_humanvs.captive"	"non_industrialized_humanvs.industrialized_human"	"wildvs.captive"	"wildvs.industrialized_human"	"wildvs.non_industrialized_human"	"wild_mean"	"captive_mean"	"nih_mean"	"ih_mean"
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Incertae_Sedis"	4e-05	0.00013	1	0.07399	0.00059	0.00224	0.000235882409209632	0.000561309757601421	6.24088040363553e-05	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnoclostridium"	0	0.08908	0	0.00076	0	0.12676	0.00345954550956084	0.000719832677338799	0.0021752303202382	0.00833532018243626
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Hungatella"	0.00082	0.37616	0.00799	0.97819	1e-05	0.32445	3.20975483545231e-05	0	2.46127051055454e-05	9.05379614817538e-05
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_NK4A136_group"	0.06111	0.27457	0.51172	0	0	0	0.00111839658398595	0.012382493129803	0.0114586247217786	0.00794574752121617
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Roseburia"	0	0	0.17621	0.00132	0	0	0.00158026079531611	0.00313876566214476	0.0101056592077304	0.01034223707087
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Pseudobutyrivibrio"	1	1	1	0	0	0	0.00102964815311641	0	0	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Agathobacter"	0	0.00509	3e-05	3e-05	0	0	0.00303425115356556	0.00713529346056361	0.0163578861522718	0.0361150604816089
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_UCG-001"	0	0.80374	0	0.14257	0	0.0091	5.35884168048554e-05	0.000328930926992239	0.000658417067449656	0.000973407778667788
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Shuttleworthia"	0	0	0.1842	0	0.264	0.78456	2.76248131467218e-05	0.00116272767769757	0.000103847075567307	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"XBB1006"	1	1	1	0.02338	0.00359	0.00421	0.000505023019194958	0	0	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0	3e-04	0.06613	0.27403	0	0.00033	0.00901109191927348	0.00434444565659591	0.00954449430280004	0.0113197403468655
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Tyzzerella_4"	0	1	0	1	0	1	0	0	0	0.00119310156727274
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Coprococcus_3"	2e-05	0.05914	0.00965	0	0	0	0.000391033448442958	0.00167962917187506	0.00325517207931723	0.00340806547409832
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"CAG-56"	0	0.03366	0	0.96386	0	0.00665	4.86209571515819e-05	3.67738687705934e-05	0.000822168151423575	0.00192585850009165
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Fusicatenibacter"	0	0.11306	0	0	0	0	0.000979854362396009	0.00449723039241371	0.00231807844221119	0.012174788536226
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Marvinbryantia"	0	1	0	0	0.00424	0	0.00224495699694642	0.00213419069283089	0.00493263097994345	0.000308586805719932
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Sellimonas"	0.00043	0.5331	0.00157	1	0	0.31925	0	0	1.08432178066617e-05	0.000101329946523066
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0	0	1e-05	0.38872	0	0	0.0167967001028777	0.0113181500135274	0.0359764721185079	0.0590335884108722
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_UCG-002"	1	1	1	0	0	0	0.00246106841523321	0	0	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Syntrophococcus"	0	0.00303	0.01361	0.88547	0	0	0	4.85072696228075e-06	0.000147853240891598	0.000203917030533658
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Oribacterium"	0	0	7e-05	0.47186	0	0	0.0230310854855783	0.00416973763655413	0.000900265544423332	3.57035110768908e-06
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Acetitomaculum"	1	1	1	0	0	0	0.00247400005856535	0	0	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_NK3A20_group"	0	0	0.22199	3e-05	0	0	0.016378426821398	0.004638419309622	0.000263359245328604	3.09172780920101e-06
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_UCG-004"	2e-05	0.93741	0	0.05465	0.00039	0.05131	0.000834945568174013	0.000441045388067178	0.000920188187014586	0.00158770545540822
