comparison	Genus	group1	group2	group1_n	group2_n	group1_mean	group2_mean	df	statistic	p	p_adj_bonferroni
cp_wd.kruskal	Acinetobacter	captive_ape	wild_ape	77	377	0	0.0721	1	82.4	0	0
bonobo.kruskal	Acinetobacter	captive_bonobo	wild_bonobo	9	69	0	0.0129	1	22.4	0	0.002
chimp.kruskal	Acinetobacter	captive_chimp	wild_chimp	25	132	0	1e-04	1	0.1	0.813	1
gorilla.kruskal	Acinetobacter	captive_gorilla	wild_gorilla	21	176	0	0.1494	1	53.2	0	0
cp_wd.kruskal	Bifidobacterium	captive_ape	wild_ape	77	377	3e-04	0.0268	1	137.2	0	0
bonobo.kruskal	Bifidobacterium	captive_bonobo	wild_bonobo	9	69	2e-04	0.0092	1	18.6	0	0.013
chimp.kruskal	Bifidobacterium	captive_chimp	wild_chimp	25	132	0	0.0234	1	55.9	0	0
gorilla.kruskal	Bifidobacterium	captive_gorilla	wild_gorilla	21	176	3e-04	0.0363	1	33.3	0	0
cp_wd.kruskal	Escherichia/Shigella	captive_ape	wild_ape	77	377	6e-04	0.0018	1	9.5	0.002	1
bonobo.kruskal	Escherichia/Shigella	captive_bonobo	wild_bonobo	9	69	0	0.002	1	2.1	0.151	1
chimp.kruskal	Escherichia/Shigella	captive_chimp	wild_chimp	25	132	1e-04	8e-04	1	1.8	0.182	1
gorilla.kruskal	Escherichia/Shigella	captive_gorilla	wild_gorilla	21	176	0	0.0025	1	26.9	0	0
cp_wd.kruskal	Prevotella_9	captive_ape	wild_ape	77	377	0.0992	0.0099	1	143.3	0	0
bonobo.kruskal	Prevotella_9	captive_bonobo	wild_bonobo	9	69	0.0733	0.016	1	22.7	0	0.002
chimp.kruskal	Prevotella_9	captive_chimp	wild_chimp	25	132	0.1779	0.0186	1	60.6	0	0
gorilla.kruskal	Prevotella_9	captive_gorilla	wild_gorilla	21	176	0.057	0.0011	1	61	0	0
cp_wd.kruskal	Coriobacteriaceae_UCG-003	captive_ape	wild_ape	77	377	3e-04	0.0478	1	50.7	0	0
bonobo.kruskal	Coriobacteriaceae_UCG-003	captive_bonobo	wild_bonobo	9	69	0	0.0438	1	23.6	0	0.001
chimp.kruskal	Coriobacteriaceae_UCG-003	captive_chimp	wild_chimp	25	132	8e-04	0.1134	1	58.6	0	0
gorilla.kruskal	Coriobacteriaceae_UCG-003	captive_gorilla	wild_gorilla	21	176	0	3e-04	1	2.1	0.149	1
cp_wd.kruskal	Sarcina	captive_ape	wild_ape	77	377	0.0102	0.0101	1	5	0.026	1
bonobo.kruskal	Sarcina	captive_bonobo	wild_bonobo	9	69	0.0013	0.0067	1	0.9	0.351	1
chimp.kruskal	Sarcina	captive_chimp	wild_chimp	25	132	0.0041	0.0114	1	0.9	0.34	1
gorilla.kruskal	Sarcina	captive_gorilla	wild_gorilla	21	176	0.0202	0.0104	1	8.2	0.004	1
cp_wd.kruskal	Flexilinea	captive_ape	wild_ape	77	377	0	0.0428	1	136.9	0	0
bonobo.kruskal	Flexilinea	captive_bonobo	wild_bonobo	9	69	0	0.0325	1	20.4	0	0.005
chimp.kruskal	Flexilinea	captive_chimp	wild_chimp	25	132	0	0.0012	1	26.1	0	0
gorilla.kruskal	Flexilinea	captive_gorilla	wild_gorilla	21	176	0	0.0781	1	53.7	0	0
cp_wd.kruskal	Ruminobacter	captive_ape	wild_ape	77	377	0.008	0	1	249.7	0	0
bonobo.kruskal	Ruminobacter	captive_bonobo	wild_bonobo	9	69	0.0118	0	1	76.6	0	0
chimp.kruskal	Ruminobacter	captive_chimp	wild_chimp	25	132	0.0015	0	1	69	0	0
gorilla.kruskal	Ruminobacter	captive_gorilla	wild_gorilla	21	176	0.0196	0	1	135.1	0	0
cp_wd.kruskal	Bacteroides	captive_ape	wild_ape	77	377	0.0032	8e-04	1	119	0	0
bonobo.kruskal	Bacteroides	captive_bonobo	wild_bonobo	9	69	5e-04	0	1	38.7	0	0
chimp.kruskal	Bacteroides	captive_chimp	wild_chimp	25	132	0.0028	0.0023	1	11.1	0.001	0.708
gorilla.kruskal	Bacteroides	captive_gorilla	wild_gorilla	21	176	0.002	0	1	81.3	0	0
cp_wd.kruskal	Akkermansia	captive_ape	wild_ape	77	377	1e-04	9e-04	1	1	0.31	1
bonobo.kruskal	Akkermansia	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Akkermansia	captive_chimp	wild_chimp	25	132	0	0.0026	1	3.1	0.078	1
gorilla.kruskal	Akkermansia	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Clostridium_sensu_stricto_1	captive_ape	wild_ape	77	377	0.0069	0.004	1	16.7	0	0.035
bonobo.kruskal	Clostridium_sensu_stricto_1	captive_bonobo	wild_bonobo	9	69	0.0083	1e-04	1	48	0	0
chimp.kruskal	Clostridium_sensu_stricto_1	captive_chimp	wild_chimp	25	132	0.0103	0.0026	1	12.9	0	0.262
gorilla.kruskal	Clostridium_sensu_stricto_1	captive_gorilla	wild_gorilla	21	176	2e-04	0.0065	1	4.1	0.044	1
cp_wd.kruskal	Lactobacillus	captive_ape	wild_ape	77	377	0.008	0.0054	1	0.8	0.364	1
bonobo.kruskal	Lactobacillus	captive_bonobo	wild_bonobo	9	69	0.0056	3e-04	1	8	0.005	1
chimp.kruskal	Lactobacillus	captive_chimp	wild_chimp	25	132	0.0194	2e-04	1	36.1	0	0
gorilla.kruskal	Lactobacillus	captive_gorilla	wild_gorilla	21	176	0.0024	0.0112	1	3.6	0.057	1
cp_wd.kruskal	Treponema_2	captive_ape	wild_ape	77	377	0.0839	0.0113	1	126.1	0	0
bonobo.kruskal	Treponema_2	captive_bonobo	wild_bonobo	9	69	0.1298	8e-04	1	25.9	0	0
chimp.kruskal	Treponema_2	captive_chimp	wild_chimp	25	132	0.0805	0.0142	1	47.5	0	0
gorilla.kruskal	Treponema_2	captive_gorilla	wild_gorilla	21	176	0.0842	0.0133	1	38.8	0	0
cp_wd.kruskal	Clostridium_sensu_stricto_6	captive_ape	wild_ape	77	377	0	8e-04	1	9.7	0.002	1
bonobo.kruskal	Clostridium_sensu_stricto_6	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Clostridium_sensu_stricto_6	captive_chimp	wild_chimp	25	132	1e-04	0	1	32.7	0	0
gorilla.kruskal	Clostridium_sensu_stricto_6	captive_gorilla	wild_gorilla	21	176	0	0.0017	1	1	0.32	1
