Genus	captive_mean	wild_mean	captive_bonobo_mean	captive_chimp_mean	captive_gorilla_mean	captive_orangutan_mean	industrialized_human_mean	non_industrialized_human_mean	wild_bonobo_mean	wild_chimp_mean	wild_gorilla_mean	captive_vs_wild_allspecies	captive_vs_wild_bonobo	captive_vs_wild_chimp	captive_vs_wild_gorilla
Acinetobacter	2.07046839171191e-05	0.0721191508976174	0	7.97130330809087e-06	1.42344701930194e-05	4.9820645675568e-05	3.13158344246427e-05	0.000423847284105578	0.0129302626486677	5.43497952824378e-05	0.149372486321968	0	2.36877184534023e-11	1	1
Bifidobacterium	0.000304100045032688	0.0268391879419765	0.000154997564323989	0	0.000279944580462715	0.00073372223631291	0.027795649945909	0.00239213458415376	0.00918865995459823	0.0233862639950723	0.0363486901699337	1	1	0.000387679573445432	1
Escherichia/Shigella	0.000619846474768755	0.00181812319152378	2.21425091891413e-05	7.97130330809087e-05	0	0.00206982137033951	0.0195944599442009	0.0119071343164607	0.00201159882394395	0.000760142275686317	0.00253575763614624	2.31701228550207e-05	1	1	1
Prevotella_9	0.099152143193594	0.00994087069044807	0.0733027766706523	0.177943403746513	0.0569900738294521	0.0604369723540708	0.0424621363092866	0.189786172763127	0.0160451360609054	0.0185740425377731	0.00107284231312729	0	0	0.0129427016967965	0
Coriobacteriaceae_UCG-003	0.000324804728949807	0.0478312557551436	0	0.000761259465922678	9.48964679534628e-06	0.000262690677198449	2.84689403860388e-06	0.000104846433436643	0.0437555235933249	0.11338575069145	0.000263256820899308	1	0	1	1
Sarcina	0.0101828223589882	0.0100709065401689	0.00126212302378105	0.00413312076524512	0.0201987132038946	0.0111462371825066	0	0.0181860228550353	0.00671784474442731	0.0113538232061548	0.01042327167651	1	1	1	1
Flexilinea	7.76425646891968e-06	0.0428076960078994	0	0	2.84689403860388e-05	0	0	0	0.0325321595878027	0.00118663719699989	0.0780519674625892	0	1	1	1
Ruminobacter	0.00803600544533187	2.37870456806425e-06	0.0118462424161906	0.00154643284176963	0.0196150999259808	0.00279901445704555	0	0.00607514440551329	0	6.79372441030472e-06	0	0	0	0	0
Bacteroides	0.00320793196440865	0.000816952868876289	0.00049820645675568	0.00276604224790753	0.0020497637077948	0.00592412768578572	0.187812446620737	0.0258680689815173	3.46578404699603e-05	0.00231288573257485	1.69843110257618e-06	3.38395977905748e-13	0	6.6581157032175e-07	0
Akkermansia	0.000109993633309695	0.000896771622160223	0	0	0	0.000384977716583934	0.0191240107043216	0.000339077827284462	0	0.00256123410268488	0	1	NA	1	NA
Clostridium_sensu_stricto_1	0.00690501208635924	0.00397217232815974	0.00834772596430628	0.0103148664806696	0.000218261876292964	0.0088227834341824	0.00700691795251381	0.00986523143548896	0.000109749828154874	0.00261633875623513	0.00650329269176419	1	0	0.000755486048308995	1
Lactobacillus	0.00798941990651835	0.00538697294514284	0.00555776980647447	0.0194499800717417	0.00244832887319934	0.00125004529149607	0.000259779081022604	0.001099772163495	0.000348022481385852	0.000249858086645651	0.0112153067140114	9.41349931338209e-09	4.40573289850477e-07	0	1
Treponema_2	0.0839406707282355	0.0113252767490615	0.129777246357557	0.08052212036668	0.0842158704853005	0.0688113699771731	5.69378807720777e-05	0.0458848146671981	0.000828900017906551	0.0141762382695025	0.0133021123953766	0.00256457685480438	0	5.17492793683516e-06	0
Clostridium_sensu_stricto_6	3.62331968549585e-05	0.00078761551253683	0	9.56556396970905e-05	0	1.81165984274793e-05	0	0.000248359636651339	0	0	0.00168710822855901	1	NA	4.0152938751703e-09	1
Succinivibrionaceae_UCG-001	0.0102099972566294	0	6.64275275674239e-05	0	0.037365484256676	4.07623464618283e-05	0	0	0	0	0	0.186289233701769	0.110023720786343	NA	0
Prevotella_2	0.0117486140802203	1.03077197949451e-05	0.0143926309729419	0.0188521323236349	0.00521456091404278	0.00883184173339614	0.00530447531742869	0.0224036751277491	0	2.94394724446538e-05	0	0	0	0	0
Staphylococcus	0	0.0209275784893217	0	0	0	0	2.91806638956898e-05	1.26410593505172e-05	0.00935472877351679	0.0052221094967209	0.0372437633609913	0.000616466721838904	1	1	1
Brevundimonas	0	0.011715384298224	0	0	0	0	0	0	0.00248236782366091	0	0.0241216846624878	0	1	NA	1
Faecalibacterium	0.0231323081064014	0.00504946119698528	0.0306009476993933	0.0196771622160223	0.0223528630264382	0.0247472734519367	0.0691247224278312	0.0585682587461259	0.00822112857481184	0.00931193159172434	0.00060917062212399	0	0	0	0
Succinivibrio	0.0082715212248891	0.000764885668886439	0.00340994641512776	0.0146313272220008	0.00718840744747481	0.00406717634696909	0.000765102772874794	0.0283613320404752	0.00211846049872632	0.00105604671666848	1.58520236240444e-05	0	1	0	0
Blautia	0.00900912558943647	0.0125659033315608	0.00366458527080289	0.0127939418094859	0.00456452010856156	0.0111371788832929	0.0536575471160963	0.0302284908657192	0.0145519607673246	0.0170439448289189	0.00842874741838472	1	1	1	0.114562619293423
Rikenellaceae_RC9_gut_group	0.0224037620410677	0.0246254068906314	0.0155218989415881	0.00932243921881228	0.0255698532900605	0.0370620312330157	0.00419988043045038	0.0171070712598823	0.00640303602682517	0.0339354082877399	0.0247869035109968	1	0.0939041137526928	1	1
Ruminococcus_2	0.00878266810909298	0.00178587852960113	0.00194854080864444	0.000948585093662814	0.029598208354685	0.000611435196927425	0.0324617092751808	0.010969465149343	0.00468602884687588	0.00262011304757419	2.32118917352078e-05	0	1	1	0
Fusobacterium	0	1.32150253781347e-06	0	0	0	0	0.00323763024540227	0.00123659304117119	0	3.77429133905818e-06	0	1	NA	1	NA
Prevotella_7	0.0139769556868002	0.0298968805139693	0.0106837606837607	0.0111159824631327	0.0174467156332441	0.0152632341751513	0.00126757957068838	0.00636440158712218	0.0407633966994183	0.0321448844764907	0.0239507092648284	1	0	1	1
Anaerostipes	0.00199282582702272	0.00671772600072101	0.00596740622647358	0.00154244719011558	0.00217787393953197	0.000702018189064821	0.0119676308147811	0.00922128100033908	0.00643480571392263	0.00505755039433796	0.0080737753179463	1	1	1	1
Cerasicoccus	0.0093675754297516	0.00503228166399371	0.0219764403702228	0.00301315265045835	0.00375790013095713	0.0167850284430595	0	2.23077517950304e-06	0.011530952339693	0.00826116888293054	6.28419507953187e-05	0.0125292155852934	0	1	0
Alistipes	0	3.27732629377741e-05	0	0	0	0	0.0344908330011957	0.00182031254647448	0	8.9073275601773e-05	3.39686220515236e-06	1	NA	1	1
Flavobacterium	0	0.00908030823782394	0	0	0	0	0	0	0.00143830037950335	1.50971653562327e-06	0.0188854215732454	3.83927156732966e-07	1	1	1
Christensenellaceae_R-7_group	0.0159853100267608	0.0136614289354081	0.0166179531464506	0.0110083698684735	0.017565336218186	0.0198739084749447	0.017610174799294	0.00537616818260233	0.00840308223727913	0.017869004915637	0.012567257871662	1	0.253635749404483	1	1
Kurthia	2.71748976412189e-05	0.0134090219506858	0	8.36986847349542e-05	0	0	0	0.000479616663593154	0.00120147180295862	1.28325905527978e-05	0.0282420785173376	1.54105528338278e-09	1	0.412858146051363	1
Ruminococcaceae_UCG-001	0.000469737516369641	0.000178402842604819	0	0	0.00167492265937862	4.52914960686981e-05	0.00123768718328304	0.000242410902839331	0	0.000509529330772854	0	1	NA	1	2.48157050464215e-12
Aerococcus	0	0.00221087374576194	0	0	0	0	0	0	0	2.26457480343491e-06	0.00473409362658067	0.017750412778792	NA	1	1
Agathobacter	0.00571061063289043	0.00224523281174509	0.00327709135999291	0.00614188919888402	0.00760595190647004	0.00440686256748433	0.0331677389967545	0.0142197045858789	0.00619364490731916	0.00207435051994637	0.000825437515852024	8.11538978240378e-08	1	0.000676970270864885	0
Pediococcus	0	0	0	0	0	0	2.91806638956898e-05	0.00123287508253868	0	0	0	NA	NA	NA	NA
Ruminococcus_1	0.0277986262442221	0.00343564229780747	0.0294052522031797	0.0206855320844958	0.0191975554669855	0.0434345447298815	0.0131704435460912	0.0105106690540918	0.00226286816735116	0.00655141490633719	0.00155859360846407	0	0	0	0
Ruminococcaceae_UCG-014	0.026635281816629	0.00459142841737913	0.0265820822815641	0.0154563571143882	0.0281984854523715	0.0378682198630385	0.0158451004953596	0.0149290910929609	0.00430768075507882	0.00513907508726162	0.00429193539621001	2.25597318603832e-13	0	0.00108456245276578	0
DNF00809	0	0.00381227052108431	0	0	0	0	0	0	0	0	0.00816605674118628	0	NA	NA	1
Mogibacterium	0.000292453660329308	0.00934751605096982	7.74987821619946e-05	0.000275009964129135	0.000132855055134848	0.000552556252038117	0.000331663155497352	0.0010239258073919	0.00503549540494798	0.00732665434737974	0.0125536704228414	0	0.0932368069923761	1	2.94404500778001e-11
Ruminococcaceae_UCG-002	0.0211808916472129	0.00511342191981545	0.0160533191621275	0.0129294539657234	0.0177883429178766	0.0358935106344433	0.0265159710755566	0.0399977989684896	0.00843918415443534	0.00960481659963525	0.000441025942968948	0	1	1	0
Streptococcus	0.0126751486855114	0.00164342055602484	0	0.0390195296931048	1.89792935906926e-05	4.52914960686981e-06	0.00778696691909127	0.00373283046703509	0.000254157496779709	0.000837892677270916	0.00279222073263524	0	1	0	1
Enterococcus	0.000144932787419834	0.00016571641824181	0	0	0	0.000507264755969419	0.0014312759779081	0.000899745989066227	5.05426840186921e-05	3.92526299262051e-05	0.000305717598463712	1	1	1	1
Lachnospiraceae_NK3A20_group	0.00359096861687535	0.0123774570696686	0.00102962667729507	0.00179354324432045	0.00382907248192222	0.00645403818978948	2.84689403860388e-06	0.000206718499967282	0.0265045834994022	0.00821210309552278	0.00996299684771187	1	0	1	1
