group1	group2	betadisper_Pr(>F)	PERMANOVA_F.Model	PERMANOVA_R2	PERMANOVA_Pr(>F)
captive_orangutan	captive_gorilla	0.557	4.86637245521067	0.1060989172397	0.001
captive_orangutan	captive_chimp	0.002	9.57462156998229	0.175440915475786	0.001
captive_orangutan	captive_bonobo	0.001	4.91625570752637	0.144952784585694	0.001
captive_orangutan	wild_gorilla	0.001	26.1839747789691	0.117848169765696	0.001
captive_orangutan	wild_chimp	0.557	31.0674646622983	0.169705003123345	0.001
captive_orangutan	wild_bonobo	0.003	40.0319802235291	0.310248514780441	0.001
captive_orangutan	non_industrialized_human	0.001	10.7387321128047	0.0651864438622205	0.001
captive_orangutan	industrialized_human	0.002	19.8901961769076	0.110568539028926	0.001
captive_gorilla	captive_chimp	0.004	7.67665032489598	0.148551623927483	0.001
captive_gorilla	captive_bonobo	0.003	3.61001972129016	0.114204918349314	0.001
captive_gorilla	wild_gorilla	0.001	25.8100271563572	0.116887930719201	0.001
captive_gorilla	wild_chimp	0.824	30.7388287410936	0.169137376718128	0.001
captive_gorilla	wild_bonobo	0.049	39.8447948941739	0.311665366800082	0.001
captive_gorilla	non_industrialized_human	0.001	11.805465256328	0.0716327291571703	0.001
captive_gorilla	industrialized_human	0.002	21.1461964873249	0.117383530153038	0.001
captive_chimp	captive_bonobo	0.12	7.19151055078552	0.18349664122965	0.001
captive_chimp	wild_gorilla	0.001	35.9484616016426	0.153005733072616	0.001
captive_chimp	wild_chimp	0.001	42.9129193072453	0.216827276650021	0.001
captive_chimp	wild_bonobo	0.544	55.7339215456482	0.377258797184417	0.001
captive_chimp	non_industrialized_human	0.001	11.5447073551955	0.0684964098627306	0.001
captive_chimp	industrialized_human	0.001	26.9816914469021	0.142022587763112	0.001
captive_bonobo	wild_gorilla	0.001	14.8618314523682	0.0751121696553484	0.001
captive_bonobo	wild_chimp	0.001	18.2991761445083	0.116333579062723	0.001
captive_bonobo	wild_bonobo	0.079	26.0257409694885	0.255089948107034	0.001
captive_bonobo	non_industrialized_human	0.001	7.69540981394374	0.0517528404109628	0.001
captive_bonobo	industrialized_human	0.001	12.7220452743053	0.0796511543065741	0.001
wild_gorilla	wild_chimp	0.001	98.9021229755157	0.244261803936	0.001
wild_gorilla	wild_bonobo	0.001	72.6950804786955	0.230269918582407	0.001
wild_gorilla	non_industrialized_human	0.032	81.0715690863827	0.208371866586795	0.001
wild_gorilla	industrialized_human	0.056	94.3720144226476	0.231093246083647	0.001
wild_chimp	wild_bonobo	0.001	60.6625511594845	0.233620716151039	0.001
wild_chimp	non_industrialized_human	0.001	81.7117258524732	0.236357981931288	0.001
wild_chimp	industrialized_human	0.001	97.4991282585453	0.265304379688085	0.001
wild_bonobo	non_industrialized_human	0.001	69.8214595464006	0.257813615152007	0.001
wild_bonobo	industrialized_human	0.001	81.1821190762287	0.281704220013577	0.001
non_industrialized_human	industrialized_human	0.001	34.0751001242317	0.111329213354504	0.001
