SampleID	dataset	Description_country_zoo	captivity_status	Description	Observed	Chao1	se.chao1	ACE	se.ACE	Shannon	Simpson	InvSimpson	PD	SR
cp.ora.ATLZ.114.16s	raymann_2015	captive_orangutan_USA_AtlantaZoo	captive ape	captive_orangutan	206	207	2.34108443429587	206.371047952129	6.03322361236448	4.539523772957	0.980831124333428	52.1679005797855	23.165672946	206
cp.ora.ATLZ.115.16s	raymann_2015	captive_orangutan_USA_AtlantaZoo	captive ape	captive_orangutan	166	166	0	166	4.82463557522586	4.36040138737417	0.97725182170015	43.9595640063442	20.839853543	166
cp.ora.ATLZ.116.16s	raymann_2015	captive_orangutan_USA_AtlantaZoo	captive ape	captive_orangutan	187	187	0.166220436504019	187.176363918543	6.03443703241564	4.37758356041077	0.976373894156406	42.3260611215421	20.924947113	187
cp.ora.ATLZ.117.16s	raymann_2015	captive_orangutan_USA_AtlantaZoo	captive ape	captive_orangutan	162	162	0	162	5.39318271089404	4.36695624360578	0.978963733747032	47.5369529922598	19.775493095	162
cp.ora.ATLZ.118.16s	raymann_2015	captive_orangutan_USA_AtlantaZoo	captive ape	captive_orangutan	149	149	0.166106440991916	149.293343038967	4.31111754861752	4.26794851311879	0.975537645981045	40.8791402178678	19.04852327	149
cp.ora.ATLZ.119.16s	raymann_2015	captive_orangutan_USA_AtlantaZoo	captive ape	captive_orangutan	109	109	0	109	4.32615260136247	3.59584169275169	0.923820459975019	13.1268841958362	17.404381864	109
cp.ora.ATLZ.121.16s	raymann_2015	captive_orangutan_USA_AtlantaZoo	captive ape	captive_orangutan	143	143	0.124562170283494	143.211273025646	4.51333308890374	4.21161646101441	0.974980266338114	39.9684510440393	19.577967551	143
cp.ora.ATLZ.122.16s	raymann_2015	captive_orangutan_USA_AtlantaZoo	captive ape	captive_orangutan	140	140	0.166070361833065	140.217013201518	4.27855282695634	4.04658344101994	0.960292488690773	25.1841519911026	18.7643592	140
cp.ora.ATLZ.123.16s	raymann_2015	captive_orangutan_USA_AtlantaZoo	captive ape	captive_orangutan	192	192	0.166232072272025	192.156351791531	5.98106826739934	4.52479395293526	0.98083767706881	52.1857398808531	22.209236459	192
cp.gor.COMZ.MB2.16s	clayton_2016	captive_gorilla_USA_ComoZoo	captive ape	captive_gorilla	152	161.428571428571	7.25752693861916	157.269664511272	6.13893129547003	3.17911343434198	0.897372865416664	9.74401169885509	18.937211039	152
cp.gor.COMZ.MB26.16s	clayton_2016	captive_gorilla_USA_ComoZoo	captive ape	captive_gorilla	192	197.142857142857	4.65212748360149	195.57016567049	6.50196599671176	3.95754914159341	0.945226340217068	18.2569505846971	18.361695935	192
cp.ora.COMZ.MB31.16s	clayton_2016	captive_orangutan_USA_ComoZoo	captive ape	captive_orangutan	214	218	3.89061251674804	216.286933635108	6.72548014485575	4.58638844910139	0.983592010174293	60.9459178499293	21.078527395	214
cp.ora.COMZ.MB7.16s	clayton_2016	captive_orangutan_USA_ComoZoo	captive ape	captive_orangutan	231	232.666666666667	2.20519759087495	232.217730538286	6.59462726406107	4.68443044589468	0.982361565323782	56.6943733022021	20.790215594	231
cp.gor.COMZ.MB82.16s	clayton_2016	captive_gorilla_USA_ComoZoo	captive ape	captive_gorilla	223	229.6	5.13648570190297	227.362017786702	7.30641926238216	3.93894991876764	0.940967101932445	16.9397070571674	22.165677692	223
cp.ora.COMZ.MB84.16s	clayton_2016	captive_orangutan_USA_ComoZoo	captive ape	captive_orangutan	220	223.055555555556	2.69953183956033	223.661306026307	7.36226808702079	3.71623302683816	0.915170392565243	11.7883369997804	18.821773977	220
wd.chi.GM.1.16s	moeller_2014	wild_chimp_Tanzania	wild ape	wild_chimp	360	368.903225806452	5.01681236397399	369.539810417315	9.49717393520396	4.86904823503841	0.980079466014814	50.1994575418332	32.878235633	360
wd.chi.GM.10.16s	moeller_2014	wild_chimp_Tanzania	wild ape	wild_chimp	250	258.052631578947	5.15294630628311	258.469937576189	7.88568148207015	4.54328014505067	0.981331932027563	53.5674072687356	29.023603555	250
wd.chi.GM.100.16s	moeller_2014	wild_chimp_Tanzania	wild ape	wild_chimp	248	261.142857142857	7.14321794661199	260.357114002715	7.91415391686312	4.45444293326529	0.978232369051327	45.9397718731072	29.417494646	248
wd.chi.GM.101.16s	moeller_2014	wild_chimp_Tanzania	wild ape	wild_chimp	254	272.9	9.4231130306469	270.669137000519	8.0656707835763	4.08678712305244	0.937391671370075	15.9723158545079	28.637208127	254
