Old_SampleID	dataset	genus_sp	subspecies	common_name	uniqueid	site	site_code	country	country_zoo	captivity_status	captivity_status_ext	amplicon	sample	Description	X.SampleID
Orang114	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	114	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.114	captive_orangutan	cp.ora.ATLZ.114.16s
Orang115	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	115	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.115	captive_orangutan	cp.ora.ATLZ.115.16s
Orang116	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	116	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.116	captive_orangutan	cp.ora.ATLZ.116.16s
Orang117	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	117	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.117	captive_orangutan	cp.ora.ATLZ.117.16s
Orang118	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	118	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.118	captive_orangutan	cp.ora.ATLZ.118.16s
Orang119	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	119	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.119	captive_orangutan	cp.ora.ATLZ.119.16s
Orang121	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	121	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.121	captive_orangutan	cp.ora.ATLZ.121.16s
Orang122	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	122	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.122	captive_orangutan	cp.ora.ATLZ.122.16s
Orang123	raymann_2015	Pongo_undetermined	Pongo_undetermined	orangutan	123	atlanta_zoo	ATLZ	USA	USA_AtlantaZoo	captive	captive	16s	cp.ora.ATLZ.123	captive_orangutan	cp.ora.ATLZ.123.16s
CZ-MB2	clayton_2016	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	MB2	como_zoo	COMZ	USA	USA_ComoZoo	captive	captive	16s	cp.gor.COMZ.MB2	captive_gorilla	cp.gor.COMZ.MB2.16s
