ASV	Kingdom	Phylum	Class	Order	Family	Genus
ASV_2425	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group
ASV_905	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_AC2044_group
ASV_1085	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group
ASV_1261	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group
ASV_1111	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_1126	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_141	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_503	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_861	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group
ASV_83	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_1034	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
ASV_411	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_1600	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_760	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis
ASV_1236	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_2143	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
ASV_4532	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
ASV_1291	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
ASV_2767	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
ASV_2250	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
ASV_4686	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
ASV_787	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group
ASV_1692	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group
ASV_358	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
ASV_592	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
ASV_307	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_487	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_721	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_2153	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Hungatella
ASV_875	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group
ASV_294	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group
ASV_165	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group
ASV_3764	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group
ASV_1105	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_AC2044_group
ASV_561	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_2119	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_869	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
ASV_1118	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_115	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
ASV_1183	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
ASV_2062	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_UCG-001
ASV_2106	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_UCG-001
ASV_877	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_363	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Pseudobutyrivibrio
ASV_1867	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_614	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_552	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_576	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ASV_913	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_3850	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
ASV_361	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
ASV_369	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
ASV_4067	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
ASV_144	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_2654	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_4755	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_2610	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_5811	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_11	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_2503	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_5034	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
