ASV	codiv_clade_seq	codiv_clade	lineage
ASV_2	Chimp9931019 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2
ASV_8	Human7859459 Bt3_clade1_human	Bt3_clade1_human	Bt3
ASV_18	Chimp9859517 Bt3_clade1_chimp	Bt3_clade1_chimp	Bt3
ASV_22	Chimp9228565 Bt2_clade2_chimp	Bt2_clade2_chimp	Bt2
ASV_24	Chimp9931019 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2
ASV_28	Chimp9931019 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2
ASV_38	Human6700665 Bt3_clade1_human	Bt3_clade1_human	Bt3
ASV_42	Chimp9931019 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2
ASV_43	Chimp9859517 Bt3_clade1_chimp	Bt3_clade1_chimp	Bt3
ASV_44	Chimp5888147 Bt1_clade1_chimp	Bt1_clade1_chimp	Bt1
ASV_46	Chimp9859517 Bt3_clade1_chimp	Bt3_clade1_chimp	Bt3
ASV_52	Gorilla9805772 Bt1_clade1_gorilla	Bt1_clade1_gorilla	Bt1
ASV_53	Chimp1067447 Bt2_clade2_chimp	Bt2_clade2_chimp	Bt2
ASV_58	Bonobo5703402 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2
ASV_61	Gorilla7655534 Bt2_clade1_gorilla	Bt2_clade1_gorilla	Bt2
ASV_67	Chimp6685161 Bt1_clade1_chimp	Bt1_clade1_chimp	Bt1
ASV_69	Human8829943 Bt3_clade1_human	Bt3_clade1_human	Bt3
ASV_73	Bonobo7895675 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3
ASV_82	Chimp9228565 Bt2_clade2_chimp	Bt2_clade2_chimp	Bt2
ASV_86	Bonobo7895675 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3
ASV_87	Bonobo11821974 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1
ASV_99	Bonobo2193524 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2
ASV_100	Chimp9931019 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2
ASV_104	Gorilla8497213 Bt1_clade1_gorilla	Bt1_clade1_gorilla	Bt1
ASV_107	Bonobo3311273 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1
ASV_119	Human9825266 Bt3_clade1_human	Bt3_clade1_human	Bt3
ASV_121	Bonobo4232320 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3
ASV_122	Bonobo6757245 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2
ASV_123	Bonobo9832770 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3
ASV_127	Bonobo1078 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2
ASV_140	Bonobo6932003 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2
ASV_141	Bonobo4186256 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1
ASV_155	Chimp6685161 Bt1_clade1_chimp	Bt1_clade1_chimp	Bt1
