codiv_taxa	codiv_clade	codiv_lineage	hostSpecies
Gorilla5764570 Bt1_clade1_gorilla	Bt1_clade1_gorilla	Bt1	gorilla
Gorilla3748318 Bt1_clade1_gorilla	Bt1_clade1_gorilla	Bt1	gorilla
Gorilla12208365 Bt1_clade1_gorilla	Bt1_clade1_gorilla	Bt1	gorilla
Gorilla4447500 Bt1_clade1_gorilla	Bt1_clade1_gorilla	Bt1	gorilla
Gorilla8497213 Bt1_clade1_gorilla	Bt1_clade1_gorilla	Bt1	gorilla
Gorilla10893151 Bt1_clade1_gorilla	Bt1_clade1_gorilla	Bt1	gorilla
Gorilla9805772 Bt1_clade1_gorilla	Bt1_clade1_gorilla	Bt1	gorilla
Gorilla9193943 Bt1_clade1_gorilla	Bt1_clade1_gorilla	Bt1	gorilla
Gorilla3280123 Bt1_clade1_gorilla	Bt1_clade1_gorilla	Bt1	gorilla
Gorilla7611566 Bt1_clade1_gorilla	Bt1_clade1_gorilla	Bt1	gorilla
Gorilla10693345 Bt1_clade1_gorilla	Bt1_clade1_gorilla	Bt1	gorilla
Chimp6685161 Bt1_clade1_chimp	Bt1_clade1_chimp	Bt1	chimp
Chimp11049685 Bt1_clade1_chimp	Bt1_clade1_chimp	Bt1	chimp
Chimp2506335 Bt1_clade1_chimp	Bt1_clade1_chimp	Bt1	chimp
Chimp8740623 Bt1_clade1_chimp	Bt1_clade1_chimp	Bt1	chimp
Chimp1862511 Bt1_clade1_chimp	Bt1_clade1_chimp	Bt1	chimp
Chimp5888147 Bt1_clade1_chimp	Bt1_clade1_chimp	Bt1	chimp
Bonobo11821974 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo4208740 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo447600 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo4186256 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo5348599 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo8148512 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo759069 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo8821370 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo8827876 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo2450173 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo8808878 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo4208742 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo8808876 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo3311273 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo5856903 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo2645793 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo4935167 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Bonobo7657683 Bt1_clade1_bonobo	Bt1_clade1_bonobo	Bt1	bonobo
Gorilla7248598 Bt2_clade1_gorilla	Bt2_clade1_gorilla	Bt2	gorilla
Gorilla7655534 Bt2_clade1_gorilla	Bt2_clade1_gorilla	Bt2	gorilla
Gorilla8907336 Bt2_clade1_gorilla	Bt2_clade1_gorilla	Bt2	gorilla
Gorilla6306341 Bt2_clade1_gorilla	Bt2_clade1_gorilla	Bt2	gorilla
Gorilla8443136 Bt2_clade1_gorilla	Bt2_clade1_gorilla	Bt2	gorilla
Gorilla4351822 Bt2_clade1_gorilla	Bt2_clade1_gorilla	Bt2	gorilla
Gorilla1454159 Bt2_clade1_gorilla	Bt2_clade1_gorilla	Bt2	gorilla
Chimp7736944 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp3162311 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp3094078 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp1493190 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp9057405 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp2936652 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
