dataset	Description	site	site_code	count
gyrb_moeller_wild	industrialized_human	Conneticut	CT	16
gyrb_moeller_wild	wild_bonobo	DRC.IK	IK	5
gyrb_moeller_wild	wild_bonobo	DRC.KR	KR	4
gyrb_moeller_wild	wild_bonobo	DRC.LK	LK	15
gyrb_moeller_wild	wild_chimp	TZ.GM.KK	GM	36
gyrb_moeller_wild	wild_chimp	TZ.GM.MT	GM	12
gyrb_moeller_wild	wild_gorilla	Campo_Maan 	CP	18
gyrb_moeller_wild	wild_gorilla	XX	LB	1
gyrb_nishida_captive_wild	captive_bonobo	Columbus_zoo	COLZ	12
gyrb_nishida_captive_wild	captive_chimp	Houston_zoo	HOUZ	9
gyrb_nishida_captive_wild	captive_gorilla	Columbus_zoo	COLZ	12
gyrb_nishida_captive_wild	captive_gorilla	Houston_zoo	HOUZ	8
gyrb_nishida_captive_wild	captive_orangutan	Columbus_zoo	COLZ	4
gyrb_nishida_captive_wild	captive_orangutan	Houston_zoo	HOUZ	7
gyrb_nishida_captive_wild	wild_chimp	Campo_Maan 	CP	2
gyrb_nishida_captive_wild	wild_chimp	XX	DG	2
gyrb_nishida_captive_wild	wild_chimp	XX	EK	2
gyrb_nishida_captive_wild	wild_chimp	XX	LU	4
gyrb_nishida_captive_wild	wild_chimp	XX	OP	7
gyrb_nishida_captive_wild	wild_gorilla	XX	DG	2
gyrb_nishida_captive_wild	wild_gorilla	XX	EK	2
gyrb_nishida_captive_wild	wild_gorilla	XX	LU	2
gyrb_nishida_captive_wild	wild_gorilla	XX	OP	8
gyrb_nishida_projectchimps	captive_chimp	ProjectChimps	PC	17
